Model;Code;Iteration;Main line code;Auxiliary line code;Comments line;Refactor line;Crop2ML-generated inputs;AI-generated inputs;True positive inputs;False positive inputs;False negative inputs;Precision inputs;Recall inputs;F1-Score inputs;nb_parameter;nb_parameter_ok;nb_state;nb_state_ok;nb_rate;nb_rate_ok;nb_exogenous;nb_exogenous_ok;nb_auxiliary;nb_auxiliary_ok;nb_int;nb_int_ok;nb_double;nb_double_ok;nb_doublearray;nb_doublearray_ok;nb_doublelist;nb_doublelist_ok;nb_char;nb_char_ok;nb_date;nb_date_ok;nb_intarray;nb_intarray_ok;nb_len;nb_len_ok;Crop2ML-generated outputs;AI-generated outputs;True positive outputs;False positive outputs;False negative outputs;Precision outputs;Recall outputs;F1-Score outputs;nb_int_out;nb_int_ok_out;nb_double_out;nb_double_ok_out;nb_doublearray_out;nb_doublearray_ok_out;nb_doublelist_out;nb_doublelist_ok_out;nb_char_out;nb_char_ok_out;nb_date_out;nb_date_ok_out;nb_intarray_out;nb_intarray_ok_out;nb_len_out;nb_len_ok_out;Crop2ML-generated functions;AI-generated functions;True positive functions;False positive functions;False negative functions;Precision functions;Recall functions;F1-Score functions
ApsimCampbell;AP;1;0;0;0;0;79;60;60;0;19;1.0;0.759493670886076;0.8633093525179857;12;6;31;15;0;0;17;14;0;0;3;3;26;26;29;29;0;0;0;0;0;0;0;0;29;0;22;15;15;0;7;1.0;0.6818181818181818;0.8108108108108109;0;0;8;8;7;7;0;0;0;0;0;0;0;0;7;0;8;32;3;29;5;0.09375;0.375;0.15
ApsimCampbell;AP;2;0;0;0;0;79;55;55;0;24;1.0;0.6962025316455697;0.8208955223880596;14;2;26;25;0;0;15;12;0;0;3;3;25;25;24;0;0;0;0;0;0;0;0;0;24;0;22;19;19;0;3;1.0;0.8636363636363636;0.9268292682926829;0;0;6;6;12;0;0;0;0;0;0;0;0;0;12;0;8;35;5;30;3;0.14285714285714285;0.625;0.23255813953488372
ApsimCampbell;AP;Final;0;0;0;0;79;55;55;0;24;1.0;0.6962025316455697;0.8208955223880596;14;2;26;25;0;0;15;12;0;0;3;3;25;25;24;0;0;0;0;0;0;0;0;0;24;0;22;19;19;0;3;1.0;0.8636363636363636;0.9268292682926829;0;0;6;6;12;0;0;0;0;0;0;0;0;0;12;0;8;35;5;30;3;0.14285714285714285;0.625;0.23255813953488372
BiomaSurfacePartonSoilSWATC;PS;1;0;0;0;0;8;8;8;0;0;1.0;1.0;1.0;5;4;1;1;0;0;1;1;1;0;0;0;4;4;4;0;0;0;0;0;0;0;0;0;4;0;1;1;0;1;1;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0.0;0;0
BiomaSurfacePartonSoilSWATC;PS;2;0;0;0;0;8;8;8;0;0;1.0;1.0;1.0;5;5;1;1;0;0;1;1;1;0;0;0;4;4;4;0;0;0;0;0;0;0;0;0;4;0;1;1;1;0;0;1.0;1.0;1.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0.0;0;0
BiomaSurfacePartonSoilSWATC;PS;Final;0;0;0;0;8;8;8;0;0;1.0;1.0;1.0;5;5;1;1;0;0;1;1;1;0;0;0;4;4;4;0;0;0;0;0;0;0;0;0;4;0;1;1;1;0;0;1.0;1.0;1.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0.0;0;0
BiomaSurfaceSWATSoilSWATC;SW;1;0;0;0;0;8;9;8;1;0;0.8888888888888888;1.0;0.9411764705882353;5;1;1;1;0;0;1;0;1;0;0;0;4;4;4;4;0;0;0;0;0;0;0;0;4;0;1;1;1;0;0;1.0;1.0;1.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0.0;0;0
BiomaSurfaceSWATSoilSWATC;SW;2;0;0;0;0;8;8;8;0;0;1.0;1.0;1.0;5;1;1;1;0;0;1;0;1;0;0;0;4;4;4;0;0;0;0;0;0;0;0;0;4;0;1;1;1;0;0;1.0;1.0;1.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0.0;0;0
BiomaSurfaceSWATSoilSWATC;SW;Final;0;0;0;0;8;8;8;0;0;1.0;1.0;1.0;5;1;1;1;0;0;1;0;1;0;0;0;4;4;4;0;0;0;0;0;0;0;0;0;4;0;1;1;1;0;0;1.0;1.0;1.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0.0;0;0
DSSAT_EPICST_standalone;DE;1;0;0;0;0;28;25;25;0;3;1.0;0.8928571428571429;0.9433962264150945;8;3;8;6;0;0;9;8;0;0;2;2;12;12;9;9;0;0;0;0;0;0;1;1;10;1;9;6;6;0;3;1.0;0.6666666666666666;0.8;1;1;2;2;2;2;0;0;0;0;0;0;1;1;3;1;1;1;1;0;0;1.0;1.0;1.0
DSSAT_EPICST_standalone;DE;2;0;0;0;0;28;26;26;0;2;1.0;0.9285714285714286;0.962962962962963;8;3;9;7;0;0;9;9;0;0;2;2;13;13;9;9;0;0;0;0;0;0;1;1;10;1;9;7;7;0;2;1.0;0.7777777777777778;0.8750000000000001;1;1;3;3;2;2;0;0;0;0;0;0;1;1;3;1;1;1;1;0;0;1.0;1.0;1.0
DSSAT_EPICST_standalone;DE;Final;0;0;0;0;28;26;26;0;2;1.0;0.9285714285714286;0.962962962962963;8;3;9;7;0;0;9;9;0;0;2;2;13;13;9;9;0;0;0;0;0;0;1;1;10;1;9;7;7;0;2;1.0;0.7777777777777778;0.8750000000000001;1;1;3;3;2;2;0;0;0;0;0;0;1;1;3;1;1;1;1;0;0;1.0;1.0;1.0
DSSAT_ST_standalone;DS;1;0;0;0;0;25;26;22;4;3;0.8461538461538461;0.88;0.8627450980392156;10;4;7;7;0;0;5;3;0;0;1;1;11;11;9;9;0;0;0;0;0;0;0;0;9;1;7;7;7;0;0;1.0;1.0;1.0;0;0;4;4;3;3;0;0;0;0;0;0;0;0;3;1;1;4;1;3;0;0.25;1.0;0.4
DSSAT_ST_standalone;DS;2;0;0;0;0;25;24;23;1;2;0.9583333333333334;0.92;0.9387755102040817;10;5;8;5;0;0;5;3;0;0;1;1;12;12;9;0;0;0;0;0;0;0;0;0;9;1;7;5;5;0;2;1.0;0.7142857142857143;0.8333333333333333;0;0;3;3;2;0;0;0;0;0;0;0;0;0;2;1;1;4;1;3;0;0.25;1.0;0.4
DSSAT_ST_standalone;DS;Final;0;0;0;0;25;24;23;1;2;0.9583333333333334;0.92;0.9387755102040817;10;5;8;5;0;0;5;3;0;0;1;1;12;12;9;0;0;0;0;0;0;0;0;0;9;1;7;5;5;0;2;1.0;0.7142857142857143;0.8333333333333333;0;0;3;3;2;0;0;0;0;0;0;0;0;0;2;1;1;4;1;3;0;0.25;1.0;0.4
Simplace_Soil_Temperature;SA;1;0;0;0;0;10;11;10;1;0;0.9090909090909091;1.0;0.9523809523809523;5;5;3;3;0;0;1;1;1;0;0;0;6;6;4;0;0;0;0;0;0;0;0;0;4;0;2;3;2;1;0;0.6666666666666666;1.0;0.8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0.0;0;0
Simplace_Soil_Temperature;SA;2;0;0;0;0;10;11;10;1;0;0.9090909090909091;1.0;0.9523809523809523;5;5;3;3;0;0;1;1;1;0;0;0;6;6;4;0;0;0;0;0;0;0;0;0;4;0;2;3;2;1;0;0.6666666666666666;1.0;0.8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0.0;0;0
Simplace_Soil_Temperature;SA;Final;0;0;0;0;10;11;10;1;0;0.9090909090909091;1.0;0.9523809523809523;5;5;3;3;0;0;1;1;1;0;0;0;6;6;4;0;0;0;0;0;0;0;0;0;4;0;2;3;2;1;0;0.6666666666666666;1.0;0.8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0.0;0;0
SQ_Soil_Temperature;SQ;1;0;0;0;0;7;7;7;0;0;1.0;1.0;1.0;1;1;1;1;1;1;4;4;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;0;1.0;1.0;1.0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;3;5;3;2;0;0.6;1.0;0.7499999999999999
SQ_Soil_Temperature;SQ;2;0;0;0;0;7;7;7;0;0;1.0;1.0;1.0;1;1;1;1;1;1;4;4;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;0;1.0;1.0;1.0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;3;5;3;2;0;0.6;1.0;0.7499999999999999
SQ_Soil_Temperature;SQ;Final;0;0;0;0;7;7;7;0;0;1.0;1.0;1.0;1;1;1;1;1;1;4;4;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;0;1.0;1.0;1.0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;3;5;3;2;0;0.6;1.0;0.7499999999999999
Stics_soil_temperature;ST;1;0;0;0;0;6;6;6;0;0;1.0;1.0;1.0;2;1;3;1;0;0;1;1;0;0;0;0;4;4;1;0;0;0;0;0;0;0;1;1;2;1;1;1;1;0;0;1.0;1.0;1.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0.0;0;0
Stics_soil_temperature;ST;2;0;0;0;0;6;6;6;0;0;1.0;1.0;1.0;2;1;3;2;0;0;1;1;0;0;0;0;4;4;1;1;0;0;0;0;0;0;1;1;2;1;1;2;1;1;0;0.5;1.0;0.6666666666666666;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Stics_soil_temperature;ST;Final;0;0;0;0;6;6;6;0;0;1.0;1.0;1.0;2;1;3;2;0;0;1;1;0;0;0;0;4;4;1;1;0;0;0;0;0;0;1;1;2;1;1;2;1;1;0;0.5;1.0;0.6666666666666666;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
